Car Index,Station Index,Arrival Time,,,,Velocity,Position
4,7,781.9064674,,,,1.637960347,159.4138513
4,8,799.5391497,,,,1.323926326,185.0710521
4,1,815.0273418,,,,1.825922436,226.7199868
4,2,830.2010176,,,,1.935457646,2.429802032
4,3,841.5779461,,,,2.52704408,28.75
4,4,853.455819,,,,2.416080697,59.33906792
4,5,869.2293083,,,,1.470985133,100.0835045
4,6,882.20486,,,,2.235733466,118.4557983
4,7,894.8986424,,,,2.231011474,149.5012862
4,8,909.1332667,,,,2.167160428,182.0265439
4,1,921.7768282,,,,2.382153937,229.9094518
4,2,933.4971335,,,,2.447132974,11.2812738
4,3,946.8739252,,,,2.327756084,48.36091319
4,4,959.2781862,,,,2.735814847,78.00366997
4,5,971.676475,,,,2.068177184,110.6917333
4,6,984.8694764,,,,2.15459142,143.75
4,7,1000.453791,,,,2.995047631,172.5
5,3,12.87166735,,,,2.399126645,46.88570672
5,4,27.61470235,,,,2.208975919,74.30096072
5,5,39.27329004,,,,2.305338772,111.9933484
5,6,55.17789458,,,,2.502622827,140.5413495
5,7,76.23796535,,,,2.509761688,167.2658513
5,8,88.60086483,,,,3.359578771,193.024539
5,1,100.9232099,,,,2.575996529,229.3738537
5,2,115.2062772,,,,1.787809955,26.56345848
5,3,131.9803986,,,,2.876182188,52.70480523
5,4,147.057521,,,,2.682245045,83.00114036
5,5,162.2600693,,,,3.230731128,107.4508199
5,6,175.3220077,,,,2.469478186,137.0180258
5,7,188.9667539,,,,2.583178889,164.9384532
5,8,201.4266159,,,,1.839658482,193.2479101
5,1,214.0608271,,,,2.126089173,229.67891
5,2,227.5306705,,,,2.564939968,14.23330003
5,3,243.3496804,,,,5.815317688,50.73361016
5,4,256.2436443,,,,1.948182429,77.49875614
5,5,271.2903676,,,,2.251081511,105.6831437
5,6,285.7071144,,,,2.459592499,131.4096632
5,7,298.7029302,,,,2.045174455,160.7411596
5,8,313.3842536,,,,2.2591833,187.6662523
5,1,326.8104613,,,,1.659964966,229.8844027
5,2,340.1058941,,,,2.305229037,22.12226594
5,3,357.3451704,,,,2.75530762,53.92345119
5,4,377.1855657,,,,1.947557946,82.04372042
5,5,391.9446767,,,,2.769587461,99.95884615
5,6,404.5234471,,,,2.280624277,125.8287612
5,1,418.2005752,,,,2.546085399,172.5
5,2,437.6697615,,,,2.268772091,201.25
5,3,450.9208341,,,,2.25370717,0
5,2,465.4983348,,,,2.165308795,28.75
5,3,480.258284,,,,2.376729847,57.5
5,4,495.0827071,,,,2.17565504,86.25
5,5,509.2675445,,,,2.607614867,115
5,6,525.1115841,,,,2.439312206,143.75
5,7,537.1619075,,,,2.716824461,172.5
5,8,552.4769566,,,,2.173894131,192.3754421
5,1,567.2459238,,,,1.604491552,228.9946775
5,2,580.6106392,,,,2.167330459,19.16835094
5,6,596.1850075,,,,1.917895812,57.5
5,4,611.5372169,,,,2.265673318,79.28549828
5,5,628.1951131,,,,2.157159209,109.2404259
5,6,640.9916544,,,,2.340071363,138.9642405
5,7,656.1285445,,,,1.135540368,168.2884326
5,8,668.6513677,,,,2.474057471,192.5403786
5,1,684.6759993,,,,1.640246922,227.8438364
5,2,697.8434575,,,,2.60279663,14.85331874
5,3,718.2992701,,,,1.957129663,42.91985591
5,4,732.7426935,,,,1.815773813,75.7334358
5,5,750.4934046,,,,1.272573825,102.2261307
5,6,761.7082002,,,,2.595902077,129.6573816
5,7,773.9171722,,,,2.743863147,161.972329
5,8,787.3187205,,,,2.329722523,188.4686303
5,1,803.1969554,,,,1.879149851,227.9649787
5,2,816.6020643,,,,2.01776076,13.37579808
5,3,828.2219144,,,,2.537882822,45.65640702
5,5,842.3175602,,,,2.734709251,86.25
5,5,859.0888282,,,,2.372575924,105.1552198
5,6,870.8912566,,,,2.521098765,141.0654453
5,7,884.5899935,,,,2.329770141,172.5
5,8,900.2629238,,,,2.922573683,193.9192165
5,1,913.026717,,,,2.152043823,228.5281354
5,2,926.3586876,,,,2.538316452,23.11131177
5,3,942.9477892,,,,2.732851935,57.5
5,4,956.2639727,,,,2.130038632,86.25
5,5,969.5933523,,,,2.087577543,104.0758725
5,6,983.3700227,,,,2.424556607,131.6214874
5,7,999.5105282,,,,2.673197367,172.5
6,3,8.44743518,,,,2.053506917,52.41348237
6,4,22.20539065,,,,2.131059589,79.41199408
6,5,37.96907758,,,,3.611333115,114.9314928
6,6,53.89577949,,,,1.641033402,140.2163683
6,7,74.15244912,,,,6.256555542,172.2311696
6,8,86.15250402,,,,4.489977662,196.3050337
6,1,100.6246948,,,,2.340847308,226.8722923
6,2,113.9832493,,,,3.069022545,21.34100513
6,3,130.3131903,,,,2.097325615,41.92517123
6,4,145.8462746,,,,1.926042694,66.39628178
6,5,159.9233908,,,,2.438181245,97.08059721
6,6,172.5959361,,,,2.470264407,120.8894731
6,7,186.0395285,,,,2.268853141,150.4551816
6,8,197.0768466,,,,2.747734713,175.6859608
6,1,208.5590274,,,,2.468495543,226.3362943
6,2,221.8710059,,,,2.322594919,11.82181403
6,3,242.1861343,,,,1.167795812,38.97069017
6,4,251.75164,,,,3.005591252,57.5
6,5,267.1515319,,,,1.833196592,93.037576
6,6,280.6898862,,,,2.148230906,120.0566926
6,7,292.9533765,,,,2.403984794,149.9908561
6,8,307.371573,,,,1.948761273,180.1051318
6,1,322.7296781,,,,1.887664856,229.8668611
6,2,337.2308071,,,,1.986112632,6.012567492
6,3,356.0471125,,,,1.407083624,34.52843308
6,4,375.0257945,,,,1.514857567,57.5
6,5,386.5138484,,,,2.502599683,86.25
6,6,396.6654063,,,,2.83207764,115
6,7,408.5398671,,,,2.556507891,157.2918138
6,8,424.1585567,,,,2.003123731,198.1701226
6,1,445.3444165,,,,1.462241457,228.8459076
6,2,464.1901863,,,,1.617404492,28.75
6,3,478.3344169,,,,2.315185391,57.5
6,4,492.7474342,,,,2.161593561,86.25
6,5,508.8250965,,,,1.747952838,105.2652865
6,6,522.9374004,,,,2.434187567,133.5792969
6,7,534.569623,,,,3.118052496,161.0339314
6,8,548.3946245,,,,2.271234203,191.9781299
6,1,561.4957539,,,,2.450782119,0
6,2,576.189694,,,,2.571649982,26.94035261
6,3,590.8243961,,,,1.989780665,54.63785606
6,4,608.4632954,,,,1.223454525,79.80879233
6,5,625.5251321,,,,1.436911195,102.5313605
6,6,638.9465204,,,,2.020215218,127.6840257
6,7,652.4196782,,,,1.898758559,162.0971213
6,8,665.1309881,,,,2.123238156,192.4123707
6,1,678.4096097,,,,2.121720646,227.7613736
6,2,692.504323,,,,2.722363572,20.51426972
6,3,710.8495112,,,,2.079759835,57.5
6,4,726.9509125,,,,2.093060613,86.25
6,5,740.4555828,,,,2.00158816,115
6,6,756.2794059,,,,2.39968951,142.2265418
6,7,770.0803661,,,,2.720090978,170.0109481
6,8,781.8325008,,,,2.432921863,201.1360093
6,1,795.2992451,,,,2.910848284,0
6,2,808.9826269,,,,1.886434384,28.74098403
6,3,823.5551927,,,,1.790350717,56.62006876
6,4,837.2796897,,,,2.028119576,84.56635598
6,5,854.9394224,,,,3.109953005,114.6587066
6,6,869.8264214,,,,2.269719782,139.409238
6,7,883.6800361,,,,2.076079165,165.0466028
6,8,897.7545924,,,,2.110378594,191.7594094
6,1,911.8329204,,,,2.257208655,229.9690619
6,2,924.1372593,,,,2.523050064,19.60602153
6,3,936.3097266,,,,3.165725575,57.5
6,4,949.0758228,,,,2.830567296,86.25
6,5,964.3604317,,,,2.149924725,109.3112595
6,6,978.3676596,,,,1.535950456,137.9447869
6,7,998.4168575,,,,1.7916055,172.5
7,3,5.970444433,,,,2.121123607,48.12904068
7,4,18.99665545,,,,1.96234405,76.24570182
7,5,37.95010752,,,,1.218047891,100.8330289
7,6,51.74248286,,,,2.057822324,118.8398052
7,7,74.10948132,,,,1.217269091,147.7988087
7,8,85.05116975,,,,2.627565222,172.5
7,1,99.2885514,,,,2.019331975,228.1593553
7,2,111.5691273,,,,2.341095422,0
7,3,122.887148,,,,2.58603451,35.97383663
7,4,135.5382382,,,,2.332544886,73.4286005
7,5,152.573895,,,,1.313080348,101.594663
7,6,163.3416527,,,,2.627777699,122.8387684
7,7,176.3232458,,,,2.231685477,161.2379092
7,8,187.7731685,,,,2.841573557,195.2548585
7,1,203.3321314,,,,2.653142345,228.0252802
7,2,214.5825262,,,,2.754831257,21.30611845
7,3,226.3192254,,,,2.525464853,56.42235959
7,4,241.6451469,,,,3.092939677,85.09264273
7,5,255.1711344,,,,2.659868108,114.1358745
7,6,269.660668,,,,2.676910086,143.75
7,7,283.5901127,,,,2.781065107,170.9281366
7,8,296.5211581,,,,2.470150184,200.2131439
7,1,311.2775976,,,,2.529122144,227.314542
7,2,325.7825981,,,,2.658193059,23.03281814
7,3,339.7214539,,,,2.065227392,54.99037099
7,4,354.8719918,,,,0.973271271,83.04821959
7,6,369.8173714,,,,2.164646853,115
7,8,385.9950107,,,,2.629218348,143.75
7,8,402.5910546,,,,2.310752873,172.5
7,1,422.6210195,,,,1.968438551,201.25
7,2,440.5067013,,,,2.194503784,0
7,2,457.3114408,,,,2.01456058,23.9438986
7,3,472.7163696,,,,1.572241732,51.16414953
7,4,487.365858,,,,1.560759329,82.45830046
7,5,503.2558882,,,,1.910339676,115
7,6,518.7591262,,,,2.156506,143.75
7,7,530.8923056,,,,2.156515204,172.5
7,8,544.3123198,,,,2.301071654,201.25
7,1,559.5742301,,,,2.056570368,0
7,2,575.4860029,,,,1.212107598,23.95965633
7,3,589.3859743,,,,1.820714045,54.03586732
7,4,603.1985246,,,,2.240061754,81.56169832
7,6,616.8477416,,,,1.869962573,115
7,6,630.9939151,,,,2.450951548,143.75
7,7,646.9408991,,,,2.083653143,170.9733221
7,8,660.9686527,,,,2.110235323,195.7880025
7,1,674.7959665,,,,3.146086028,227.5823372
7,2,689.4791098,,,,3.031868835,28.75
7,3,709.7373588,,,,1.719248052,57.5
7,4,725.8965313,,,,1.988770223,85.13220146
7,5,739.8911201,,,,1.333790207,115
7,6,755.6445495,,,,2.44006761,140.6593121
7,7,769.1653041,,,,2.177350818,163.6084538
7,8,781.7856474,,,,2.788611374,189.4744726
7,1,793.912152,,,,2.294111092,229.5159342
7,2,808.9778475,,,,2.146756648,23.69943663
7,3,823.0637073,,,,2.260028915,51.41846803
7,4,836.4495394,,,,2.549564714,84.06985602
7,5,854.8296801,,,,2.471280625,113.0890462
7,6,867.9139554,,,,2.434603036,142.756136
7,7,880.0899046,,,,1.833665992,170.8443634
7,8,893.257489,,,,2.610248728,190.8185582
7,1,906.7961642,,,,2.376582835,229.6386744
7,2,920.5130829,,,,1.982262251,18.95389894
7,3,933.2576667,,,,2.370291374,42.84068726
7,4,946.9163315,,,,3.033748394,83.16992637
7,5,961.7144133,,,,1.998110804,114.0280724
7,7,974.588102,,,,2.599252023,143.75
7,7,996.0360991,,,,1.322009321,172.5
8,3,1.552522115,,,,2.46910063,53.66666667
8,4,13.89851877,,,,2.051805018,83.04036299
8,5,26.31922564,,,,2.734545098,107.5063439
8,6,39.63735864,,,,2.264467635,143.75
8,7,53.81717989,,,,2.153943662,170.1619912
8,8,67.31763966,,,,2.602949454,197.0061242
8,1,79.15685617,,,,2.585077599,228.5296775
8,2,97.60608842,,,,2.199278855,18.54242704
8,3,114.5631434,,,,2.199573506,50.7759681
8,4,130.0414953,,,,1.925483342,80.22357417
8,5,142.364819,,,,2.321801184,106.8619224
8,6,155.3838899,,,,2.445213314,139.8765254
8,7,171.2767951,,,,1.916141088,167.0336179
8,8,185.6633722,,,,1.918987344,192.8543128
8,1,200.3192593,,,,2.09172579,229.7671509
8,2,211.8804073,,,,1.870039541,25.65224043
8,3,225.8925157,,,,1.703303707,57.24664495
8,4,241.2709537,,,,2.325668889,82.71660308
8,5,254.8462591,,,,2.058344907,112.0209604
8,6,268.8180146,,,,2.544071344,143.572778
8,7,283.0249107,,,,1.903222481,166.3240171
8,8,296.1014038,,,,1.956673222,195.6794245
8,1,309.0356006,,,,2.4299734,228.7360869
8,2,323.6318206,,,,2.641997964,21.71459609
8,3,338.506271,,,,1.73538881,50.99633163
8,4,351.5822816,,,,2.087106399,81.36830651
8,6,365.7378121,,,,3.102072367,115
8,8,385.3299343,,,,2.213687827,143.75
8,7,401.3639399,,,,1.68740124,170.0710762
8,1,421.5716906,,,,1.972358414,201.25
8,2,440.4635444,,,,2.541627511,0
8,2,454.9257585,,,,1.97399315,25.0001493
8,4,468.6865501,,,,2.255108585,57.5
8,5,484.9364639,,,,1.764911723,86.25
8,5,502.2566824,,,,2.344121816,115
8,6,515.409093,,,,2.228054758,143.75
8,7,528.4723003,,,,2.175746196,172.5
8,8,542.4667974,,,,2.619335731,201.25
8,1,558.1645188,,,,2.342638389,0
8,2,571.5339249,,,,2.319082485,28.75
8,3,587.4833511,,,,2.188397532,55.66394576
8,5,601.1055905,,,,2.017668369,86.25
8,5,616.1197204,,,,1.755876806,112.6741086
8,6,629.7018209,,,,3.066818138,143.75
8,7,646.2082062,,,,1.509935599,168.0429958
8,8,658.3803169,,,,2.449149175,199.0394742
8,1,672.5079594,,,,2.119105873,229.8473215
8,2,688.861405,,,,2.226590577,28.75
8,3,709.1322126,,,,2.081816183,57.5
8,4,725.3344761,,,,1.108771159,81.35230936
8,5,738.8339617,,,,2.474229259,103.7125964
8,6,754.3779092,,,,1.773774211,134.5242626
8,7,765.0816506,,,,2.205335394,168.2770027
8,8,777.5629265,,,,2.17202582,199.6846643
8,1,791.5525854,,,,2.257679613,229.6268326
8,2,806.6251992,,,,2.497732272,25.37008305
8,3,820.3727983,,,,2.090116574,52.28840872
8,4,835.594435,,,,1.638843272,80.29042261
8,5,854.0564155,,,,2.158940065,101.8915757
8,6,867.5057311,,,,2.176215498,125.5503928
8,7,879.1869939,,,,2.509659852,153.7682848
8,8,889.2611489,,,,3.180580844,188.5408649
8,1,902.63914,,,,2.338313701,229.1075403
8,2,915.5712034,,,,2.211594132,24.81840906
8,3,927.073063,,,,1.777930955,56.86072194
8,4,945.9010616,,,,1.978740033,82.46775012
8,5,961.22799,,,,2.025328982,107.3661228
