Car Index,Station Index,Arrival Time,,,,Position,Velocity
6,7,686.2969703,,,,197.0252199,1.409029224
6,8,698.9299485,,,,229.9622591,2.214926359
6,1,711.4518664,,,,21.42031614,2.113687661
6,2,727.4007166,,,,48.69129127,2.342902537
6,3,741.8638315,,,,80.08228018,2.285675749
6,4,758.9273426,,,,107.5304897,2.337015289
6,5,771.281293,,,,138.532874,3.44361173
6,6,784.1790945,,,,164.517599,2.094306848
6,7,798.3934113,,,,196.2312737,2.209100935
6,8,812.8456875,,,,229.9738488,2.129899627
6,1,827.7072909,,,,19.79707163,1.763932619
6,2,844.4987125,,,,51.3093885,2.209345056
6,3,859.3399778,,,,76.91619805,2.079005838
6,4,872.9860944,,,,110.6984939,2.525511375
6,5,887.4567566,,,,138.3274172,2.049064899
6,6,903.4650972,,,,167.7782283,2.102036081
6,7,918.6996228,,,,196.1380916,1.846166515
6,8,929.9003189,,,,229.6084608,2.485253972
6,1,945.5168689,,,,24.49879934,1.369122506
6,2,963.8630918,,,,52.24881468,1.98972317
6,3,976.3814547,,,,77.65271109,2.604857556
6,4,991.175908,,,,107.2192413,2.145529939
6,5,1003.266586,,,,139.3373456,2.120999242
7,2,5.465155041,,,,48.36462837,2.231653064
7,3,18.81366767,,,,78.04914157,2.118429788
7,5,32.65625608,,,,115,2.303437831
7,6,46.65497392,,,,143.75,2.371658606
7,6,60.42874554,,,,167.5550769,2.251706805
7,7,75.30353705,,,,195.7742881,2.715272828
7,8,88.65244271,,,,229.1333711,2.503952647
7,1,103.6141331,,,,21.53657113,2.499777436
7,2,116.632864,,,,50.1085947,2.747046233
7,4,134.1661662,,,,86.25,1.894263746
7,5,149.036004,,,,115,2.237487633
7,5,166.1950947,,,,137.9595161,1.777917713
7,6,184.7238147,,,,163.228137,1.121271437
7,7,197.5527471,,,,182.5576866,2.294988511
7,8,210.4088232,,,,229.8817841,2.231443833
7,1,223.6025066,,,,19.40868538,1.703065464
7,2,236.4490096,,,,49.70748414,2.238610226
7,3,251.8475848,,,,80.28314943,2.290894498
7,4,270.1741313,,,,109.0530974,1.582104715
7,5,283.4712869,,,,138.5496501,2.407785727
7,6,299.3790127,,,,167.1443886,1.64264114
7,7,315.4197293,,,,195.3088692,1.270372264
7,1,331.320055,,,,0,2.409004533
7,1,348.2778994,,,,24.57782443,1.090988859
7,2,362.6944532,,,,49.92971218,2.468440785
7,3,377.0857942,,,,79.36381958,1.948818348
