Car_1_Station,Car_1_ArrivalTime,Car_2_Station,Car_2_ArrivalTime,Car_3_Station,Car_3_ArrivalTime,Car_4_Station,Car_4_ArrivalTime,Car_5_Station,Car_5_ArrivalTime,Car_6_Station,Car_6_ArrivalTime,Car_7_Station,Car_7_ArrivalTime,Car_8_Station,Car_8_ArrivalTime,Car_9_Station,Car_9_ArrivalTime,Car_10_Station,Car_10_ArrivalTime,Car_11_Station,Car_11_ArrivalTime,Car_12_Station,Car_12_ArrivalTime,Car_13_Station,Car_13_ArrivalTime,Car_14_Station,Car_14_ArrivalTime,Car_15_Station,Car_15_ArrivalTime,Car_16_Station,Car_16_ArrivalTime,Car_17_Station,Car_17_ArrivalTime,Car_18_Station,Car_18_ArrivalTime,Car_19_Station,Car_19_ArrivalTime,Car_20_Station,Car_20_ArrivalTime,Car_21_Station,Car_21_ArrivalTime,Car_22_Station,Car_22_ArrivalTime,Car_23_Station,Car_23_ArrivalTime,Car_24_Station,Car_24_ArrivalTime,Car_25_Station,Car_25_ArrivalTime,Car_26_Station,Car_26_ArrivalTime,Car_27_Station,Car_27_ArrivalTime,Car_28_Station,Car_28_ArrivalTime,Car_29_Station,Car_29_ArrivalTime,Car_30_Station,Car_30_ArrivalTime
6,593,6,589.1,6,586.2,6,582.6,6,579.3,6,576.1,7,586.2,7,582.6,7,579.5,7,575.8,7,572,8,582.4,8,579.2,8,575.8,8,572.3,8,568.7,8,565.3,1,575,1,571.7,1,568.3,1,565,1,561.4,2,570.8,2,567.1,2,563.9,2,560.4,2,557,3,565.9,3,562.5,3,559.1
7,606.9,7,603.2,7,599.9,7,596.8,7,593.2,7,589.8,8,599.3,8,596,8,592.6,8,589.1,8,585.9,1,595.5,1,592.5,1,589,1,585.8,1,582.2,1,578.6,2,587.5,2,584.1,2,580.7,2,577.5,2,574.2,3,583.2,3,579.9,3,576.2,3,572.6,3,569,4,578.1,4,574.6,4,571
8,619.3,8,616.5,8,613.3,8,609.5,8,606.3,8,602.7,1,612.4,1,608.8,1,605.6,1,601.9,1,598.8,2,608.4,2,604.8,2,601.2,2,597.8,2,594.6,2,590.7,3,600,3,596.4,3,592.9,3,589.6,3,586.3,4,595.7,4,592.1,4,588.5,4,585,4,581.5,5,591.3,5,587.7,5,584.2
1,632.6,1,629.1,1,626.1,1,622.6,1,619,1,615.9,2,625.1,2,621.5,2,618.3,2,615.2,2,611.7,3,620.3,3,617.1,3,613.6,3,610.5,3,606.9,3,603.6,4,612.5,4,609.1,4,605.7,4,602.2,4,599,5,607.7,5,604.6,5,601.3,5,597.5,5,594.5,6,603.5,6,600.1,6,596.5
2,645.6,2,642.3,2,638.6,2,635.5,2,632.2,2,628.8,3,637.7,3,634.3,3,630.9,3,627.3,3,624,4,632.2,4,629.1,4,626,4,622.3,4,619.2,4,615.8,5,625,5,621.8,5,618.1,5,614.3,5,611.2,6,620.7,6,617.4,6,614,6,610.6,6,606.9,7,617.6,7,614,7,610.6
3,658,3,654.8,3,651,3,647.7,3,644.3,3,641,4,649.8,4,646.4,4,642.7,4,639.1,4,635.6,5,645.1,5,641.5,5,638.5,5,635.1,5,631.4,5,628.1,6,637.4,6,634.5,6,631.2,6,627.8,6,624.1,7,634.5,7,631.3,7,627.2,7,624.3,7,621.2,8,630.3,8,626.9,8,623.1
4,670.2,4,666.4,4,663.3,4,659.9,4,656.7,4,653.2,5,662.1,5,658.9,5,655.6,5,652,5,648.4,6,658.2,6,654.8,6,651.3,6,647.9,6,644.1,6,640.9,7,650.8,7,647.2,7,644.1,7,640.8,7,637.4,8,647.1,8,643.4,8,640,8,636.8,8,633.3,1,642.6,1,639.3,1,635.7
5,682.5,5,678.6,5,675.1,5,671.9,5,668.7,5,665.4,6,675.8,6,672.3,6,668.8,6,665.4,6,661.9,7,671.7,7,668,7,664.6,7,661.2,7,657.5,7,654.2,8,664.1,8,660.9,8,657.4,8,654,8,650.3,1,659.7,1,656.2,1,653,1,649.8,1,646.2,2,655.8,2,652.1,2,648.8
6,696.3,6,692.3,6,689.4,6,685.9,6,682.7,6,679.4,7,688.7,7,685.1,7,681.5,7,678.1,7,674.7,8,684.3,8,681.1,8,677.6,8,674.1,8,670.8,8,667.3,1,676.8,1,673.2,1,669.8,1,666.2,1,662.7,2,672.9,2,669.4,2,665.9,2,662.5,2,659.1,3,668.6,3,665.1,3,661.4
7,709.3,7,706.1,7,702.8,7,699.2,7,695.6,7,692.1,8,701.4,8,697.9,8,694.6,8,691.1,8,687.7,1,696.8,1,693.4,1,690.2,1,687,1,683.4,1,680.1,2,690.1,2,686.3,2,682.9,2,679.4,2,676.3,3,685.3,3,682.2,3,679,3,675.6,3,672.1,4,680.6,4,677,4,673.7
8,721.4,8,718,8,714.8,8,711.3,8,707.3,8,703.8,1,713.7,1,710.2,1,706.6,1,703.4,1,700.1,2,710.1,2,706.8,2,703.3,2,700,2,696.5,2,693.4,3,702.5,3,699.3,3,695.9,3,692.3,3,689,4,697.7,4,694.2,4,690.7,4,686.9,4,684.2,5,693.3,5,689.6,5,686
1,734.5,1,731.2,1,727.7,1,723.9,1,720.9,1,717.2,2,727.6,2,724.1,2,720.4,2,716.5,2,713.5,3,722.6,3,719.2,3,715.9,3,712.8,3,709.3,3,705.6,4,714.4,4,711.1,4,707.8,4,704.6,4,701.4,5,710.2,5,706.9,5,703.3,5,699.9,5,696.6,6,706.4,6,703.2,6,699.8
2,747.9,2,744.3,2,741.2,2,737.6,2,734,2,731.1,3,739.5,3,736,3,732.7,3,729.4,3,726.1,4,735.6,4,732.3,4,728.6,4,725,4,721.4,4,718,5,727.8,5,723.9,5,720.9,5,717.5,5,713.9,6,723.9,6,720.4,6,716.8,6,713.1,6,709.6,7,719.2,7,715.9,7,712.7
3,760.4,3,756.7,3,753.5,3,749.9,3,746.4,3,742.8,4,752.6,4,748.9,4,745.7,4,742.3,4,738.6,5,748.3,5,745,5,741.7,5,738.3,5,735,5,731.2,6,740.5,6,736.8,6,733.4,6,730.5,6,727.2,7,735.3,7,732.1,7,729.2,7,725.7,7,722.6,8,732.1,8,728.7,8,725
4,773.2,4,769.7,4,766.1,4,762.4,4,759.2,4,755.8,5,765.4,5,761.6,5,758.6,5,755.2,5,751.6,6,761.2,6,757.6,6,754.2,6,750.9,6,747.2,6,744.1,7,752.3,7,748.9,7,745.5,7,742.2,7,738.9,8,749.1,8,745.7,8,742.2,8,738.3,8,735.6,1,745.1,1,741.5,1,738.2
5,785.7,5,782.3,5,778.9,5,775.4,5,771.9,5,768.9,6,777.9,6,775,6,771.3,6,767.7,6,764.9,7,773.3,7,769.7,7,766.4,7,762.9,7,759.3,7,755.7,8,766.1,8,762.9,8,759.1,8,756.4,8,752.7,1,762.4,1,759,1,755.4,1,751.8,1,748.4,2,758.4,2,755,2,751.5
6,798.9,6,795.1,6,791.6,6,788.2,6,784.9,6,781.3,7,791.2,7,787.3,7,783.7,7,780.2,7,776.9,8,786.9,8,783.3,8,780,8,776.5,8,772.8,8,769.7,1,779.5,1,776.4,1,772.8,1,769.3,1,766.1,2,775.5,2,772.2,2,768.6,2,765,2,761.6,3,770.6,3,767.2,3,763.9
7,811.8,7,807.9,7,804.7,7,801.1,7,797.6,7,794.5,8,803.8,8,800.5,8,797.1,8,793.8,8,790.4,1,800,1,796.8,1,793.3,1,790,1,786.6,1,783.1,2,793.1,2,789.4,2,786,2,782.4,2,778.8,3,788.2,3,784.9,3,781.7,3,778.5,3,774.5,4,783.7,4,780.2,4,776.8
